lng,lat,height,type
103.90542,31.31281989,1539.234,0
103.90542,31.31254211,1551.157,0
103.90542,31.31226433,1563.157,0
103.90542,31.31198656,1575.157,0
103.90542,31.31170878,1586.722,0
103.90542,31.311431,1599.059,0
103.90542,31.31115322,1611.112,0
103.90542,31.31087544,1623.523,0
103.90542,31.31059767,1634.748,0
103.90542,31.31031989,1646.597,0
103.90542,31.31004211,1657.748,0
103.90542,31.30976433,1669.224,0
103.90542,31.30948656,1681.198,0
103.90542,31.30920878,1693.245,0
103.90542,31.308931,1702.687,0
103.90542,31.30865322,1712.098,0
103.90542,31.30837544,1721.151,0
103.90542,31.30809767,1725.016,0
103.90542,31.30781989,1727.969,0
103.90542,31.30754211,1730.921,0
103.90542,31.30726433,1733.913,0
103.90542,31.30698656,1736.913,0
103.90542,31.30670878,1739.913,0
103.90542,31.306431,1747.569,0
103.90542,31.30615322,1755.643,0
103.90542,31.30587544,1763.643,0
103.90542,31.30559767,1779.713,0
103.90542,31.30531989,1797.66,0
103.90542,31.30504211,1815.249,0
103.90542,31.30476433,1833.155,0
103.90542,31.30448656,1851.565,0
103.90542,31.30420878,1869.619,0
103.90542,31.303931,1885.898,0
103.90542,31.30365322,1901.44,0
103.90542,31.30337544,1917.338,0
103.90542,31.30309767,1922.719,0
103.90542,31.30281989,1925.793,0
103.90542,31.30254211,1929.207,0
103.90542,31.30226433,1939.917,0
103.90542,31.30198656,1951.937,0
103.90542,31.30170878,1964.375,0
103.90542,31.301431,1980.281,0
103.90542,31.30115322,1997.227,0
103.90542,31.30087544,2013.817,0
103.90542,31.30059767,2014.229,0
103.90542,31.30031989,2011.766,0
103.90542,31.30004211,2009.322,0
103.90542,31.29976433,1995.792,0
103.90542,31.29948656,1980.3,0
103.90542,31.29920878,1964.378,0
103.90542,31.298931,1965.76,0
103.90542,31.29865322,1970.268,0
103.90542,31.29837544,1974.76,0
103.90542,31.29809767,1985.207,0
103.90542,31.29781989,1996.284,0
