x,y
51.0,1044.0
51.0,1038.0
51.0,1032.0
51.0,1026.0
51.0,1020.0
51.0,1014.0
51.0,690.0
51.0,684.0
51.0,678.0
51.0,672.0
51.0,666.0
51.0,660.0
51.0,654.0
51.0,648.0
51.0,642.0
51.0,636.0
51.0,630.0
51.0,624.0
51.0,618.0
51.0,606.0
51.0,600.0
51.0,594.0
51.0,588.0
51.0,582.0
51.0,426.0
51.0,300.0
51.0,294.0
51.0,288.0
51.0,282.0
51.0,276.0
51.0,270.0
51.0,240.0
51.0,234.0
51.0,228.0
51.0,222.0
54.0,1449.0
54.0,1443.0
54.0,1437.0
54.0,1179.0
54.0,1173.0
54.0,1167.0
54.0,1047.0
54.0,1041.0
54.0,1011.0
54.0,1005.0
54.0,909.0
54.0,903.0
54.0,897.0
54.0,837.0
54.0,831.0
54.0,825.0
54.0,693.0
54.0,687.0
54.0,681.0
54.0,675.0
54.0,669.0
54.0,663.0
54.0,657.0
54.0,651.0
54.0,645.0
54.0,639.0
54.0,633.0
54.0,627.0
54.0,621.0
54.0,615.0
54.0,609.0
54.0,603.0
54.0,597.0
54.0,591.0
54.0,585.0
54.0,3.0
57.0,1194.0
57.0,1188.0
57.0,1182.0
57.0,1050.0
57.0,1044.0
57.0,1038.0
57.0,1032.0
57.0,1026.0
57.0,1020.0
57.0,1014.0
57.0,690.0
57.0,684.0
57.0,678.0
57.0,672.0
57.0,666.0
57.0,660.0
57.0,654.0
57.0,648.0
57.0,642.0
57.0,636.0
57.0,630.0
57.0,624.0
57.0,606.0
57.0,600.0
57.0,594.0
57.0,588.0
57.0,426.0
57.0,300.0
57.0,294.0
57.0,288.0
57.0,282.0
57.0,276.0
57.0,270.0
57.0,240.0
57.0,234.0
57.0,228.0
57.0,222.0
60.0,1437.0
60.0,1179.0
60.0,1173.0
60.0,1167.0
60.0,1047.0
60.0,1041.0
60.0,1017.0
60.0,1011.0
60.0,1005.0
60.0,909.0
60.0,903.0
60.0,897.0
60.0,837.0
60.0,831.0
60.0,825.0
60.0,693.0
60.0,687.0
60.0,681.0
60.0,675.0
60.0,669.0
60.0,663.0
60.0,645.0
60.0,639.0
60.0,633.0
60.0,627.0
60.0,621.0
60.0,615.0
60.0,609.0
60.0,603.0
60.0,597.0
60.0,591.0
60.0,585.0
63.0,1026.0
63.0,1020.0
63.0,1014.0
63.0,990.0
63.0,984.0
63.0,978.0
63.0,972.0
63.0,966.0
63.0,690.0
63.0,684.0
63.0,678.0
63.0,672.0
63.0,666.0
63.0,660.0
63.0,654.0
63.0,648.0
63.0,642.0
63.0,636.0
63.0,630.0
63.0,624.0
63.0,618.0
63.0,612.0
63.0,606.0
63.0,600.0
63.0,594.0
63.0,588.0
63.0,282.0
66.0,1515.0
66.0,1509.0
66.0,1179.0
66.0,1173.0
66.0,1167.0
66.0,1041.0
66.0,1035.0
66.0,1017.0
66.0,1011.0
66.0,1005.0
66.0,909.0
66.0,903.0
66.0,897.0
66.0,837.0
66.0,831.0
66.0,825.0
66.0,693.0
66.0,687.0
66.0,681.0
66.0,675.0
66.0,669.0
66.0,663.0
66.0,657.0
66.0,651.0
66.0,645.0
66.0,639.0
66.0,633.0
66.0,627.0
66.0,621.0
66.0,615.0
66.0,609.0
66.0,603.0
66.0,597.0
66.0,591.0
69.0,1056.0
69.0,1050.0
69.0,1044.0
69.0,1038.0
69.0,1032.0
69.0,996.0
69.0,990.0
69.0,984.0
69.0,978.0
69.0,972.0
69.0,966.0
69.0,960.0
69.0,954.0
69.0,948.0
69.0,690.0
69.0,684.0
69.0,678.0
69.0,672.0
69.0,666.0
69.0,660.0
69.0,654.0
69.0,648.0
69.0,642.0
69.0,636.0
69.0,630.0
69.0,624.0
69.0,618.0
69.0,612.0
69.0,606.0
69.0,600.0
69.0,594.0
72.0,1521.0
72.0,1515.0
72.0,1509.0
72.0,1197.0
72.0,1191.0
72.0,1185.0
72.0,1179.0
72.0,1173.0
72.0,1167.0
72.0,1065.0
72.0,1059.0
72.0,1041.0
72.0,1035.0
72.0,1029.0
72.0,1017.0
72.0,1011.0
72.0,1005.0
72.0,909.0
72.0,903.0
72.0,897.0
72.0,837.0
72.0,831.0
72.0,825.0
72.0,693.0
72.0,687.0
72.0,681.0
72.0,675.0
72.0,669.0
72.0,663.0
72.0,657.0
72.0,651.0
72.0,645.0
72.0,639.0
72.0,633.0
72.0,627.0
72.0,621.0
72.0,615.0
72.0,609.0
72.0,603.0
72.0,597.0
72.0,591.0
72.0,39.0
72.0,33.0
75.0,1068.0
75.0,1062.0
75.0,1056.0
75.0,1050.0
75.0,1044.0
75.0,1038.0
75.0,1032.0
75.0,1026.0
75.0,1020.0
75.0,1002.0
75.0,996.0
75.0,990.0
75.0,984.0
75.0,978.0
75.0,972.0
75.0,966.0
75.0,960.0
75.0,954.0
75.0,948.0
75.0,696.0
75.0,690.0
75.0,684.0
75.0,672.0
75.0,666.0
75.0,660.0
75.0,648.0
75.0,642.0
75.0,636.0
75.0,630.0
75.0,624.0
75.0,618.0
75.0,612.0
75.0,606.0
